,workingday,temp,humidity,windspeed,casual,registered,count,time,month,season_2,season_3,season_4,weather_2,weather_3,weather_4
15640,0,34.44,24,0.0,238.0,257.0,495.0,17.0,6.0,1,0,0,0,0,0
3296,0,9.84,65,16.9979,1.0,6.0,7.0,3.0,3.0,0,0,0,0,0,0
14221,0,13.12,76,6.0032,17.0,118.0,145.0,1.0,11.0,0,0,1,0,0,0
1841,0,15.58,34,0.0,17.0,118.0,145.0,13.0,3.0,0,0,0,0,0,0
12684,1,22.96,83,16.9979,26.0,176.0,202.0,9.0,5.0,1,0,0,0,1,0
6846,0,14.76,81,6.0032,6.0,19.0,25.0,23.0,10.0,0,0,1,0,0,0
3693,0,14.76,76,15.0013,17.0,118.0,145.0,5.0,12.0,0,0,0,1,0,0
4762,1,10.66,60,0.0,0.0,14.0,14.0,0.0,2.0,0,0,0,1,0,0
11453,0,14.76,29,6.0032,17.0,118.0,145.0,16.0,2.0,0,0,0,0,0,0
3180,1,26.24,78,6.0032,17.0,118.0,145.0,21.0,5.0,1,0,0,0,0,0
6270,0,12.3,65,12.998,17.0,118.0,145.0,21.0,12.0,0,0,0,1,0,0
2863,1,24.6,60,15.0013,44.0,143.0,187.0,15.0,9.0,0,1,0,1,0,0
1859,1,27.88,83,26.0027,14.0,112.0,126.0,13.0,9.0,0,1,0,1,0,0
16618,1,28.7,84,0.0,2.0,16.0,18.0,1.0,9.0,0,1,0,1,0,0
285,1,16.4,82,0.0,0.0,30.0,30.0,5.0,4.0,1,0,0,0,0,0
15443,1,30.34,33,11.0014,17.0,118.0,145.0,14.0,8.0,0,1,0,0,0,0
8880,0,6.56,93,11.0014,17.0,118.0,145.0,7.0,1.0,0,0,0,0,1,0
1861,1,27.06,61,12.998,63.0,220.0,283.0,15.0,5.0,1,0,0,0,0,0
6530,0,22.14,49,0.0,87.0,248.0,335.0,9.0,5.0,1,0,0,0,0,0
2795,1,23.78,53,22.0028,1.0,1.0,2.0,3.0,6.0,1,0,0,0,0,0
5786,1,28.7,58,30.0026,24.0,417.0,441.0,8.0,8.0,0,1,0,0,0,0
10749,1,22.96,64,8.9981,21.0,84.0,105.0,10.0,9.0,0,1,0,1,0,0
1051,1,30.34,35,15.0013,17.0,118.0,145.0,15.0,8.0,0,1,0,0,0,0
6897,1,9.84,65,26.0027,0.0,4.0,4.0,2.0,3.0,0,0,0,0,0,0
16118,0,17.22,54,12.998,17.0,118.0,145.0,3.0,4.0,1,0,0,1,0,0
12161,1,35.26,39,15.0013,47.0,218.0,265.0,16.0,7.0,0,1,0,0,0,0
2239,0,16.4,87,7.0015,8.0,70.0,78.0,2.0,12.0,0,0,1,1,0,0
812,1,25.42,78,16.9979,30.0,144.0,174.0,10.0,5.0,1,0,0,0,0,0
15425,0,17.22,82,19.9995,2.0,9.0,11.0,3.0,3.0,0,0,0,1,0,0
9915,1,30.34,51,15.0013,17.0,118.0,145.0,15.0,4.0,1,0,0,0,0,0
1417,0,13.94,61,8.9981,17.0,118.0,145.0,17.0,12.0,0,0,0,0,0,0
14417,0,28.7,79,11.0014,99.0,120.0,219.0,20.0,9.0,0,1,0,0,0,0
4436,0,15.58,37,31.0009,64.0,183.0,247.0,14.0,11.0,0,0,1,0,0,0
9244,1,24.6,64,16.9979,17.0,118.0,145.0,6.0,6.0,0,1,0,0,0,0
4769,1,10.66,70,0.0,17.0,118.0,145.0,3.0,11.0,0,0,1,0,0,0
5351,0,27.06,65,16.9979,90.0,168.0,258.0,10.0,9.0,0,1,0,0,1,0
11790,0,12.3,33,15.0013,17.0,118.0,145.0,0.0,1.0,0,0,0,0,0,0
16395,1,29.52,66,11.0014,53.0,114.0,167.0,23.0,8.0,0,1,0,0,0,0
579,0,15.58,46,11.0014,6.0,56.0,62.0,1.0,1.0,0,0,0,0,0,0
16416,1,30.34,66,15.0013,17.0,118.0,145.0,10.0,7.0,0,1,0,1,0,0
1805,0,14.76,29,23.9994,11.0,25.0,36.0,2.0,4.0,1,0,0,0,0,0
16069,1,19.68,94,19.9995,17.0,118.0,145.0,1.0,11.0,0,0,1,1,0,0
17155,1,28.7,42,11.0014,98.0,369.0,467.0,19.0,6.0,1,0,0,0,0,0
5833,1,13.94,61,8.9981,11.0,375.0,386.0,19.0,11.0,0,0,1,1,0,0
2891,1,10.66,75,15.0013,2.0,71.0,73.0,6.0,1.0,0,0,0,1,0,0
12858,1,24.6,40,16.9979,82.0,262.0,344.0,16.0,5.0,1,0,0,0,0,0
17111,1,25.42,53,16.9979,23.0,311.0,334.0,7.0,7.0,0,1,0,0,0,0
5888,1,30.34,37,7.0015,17.0,118.0,145.0,13.0,8.0,0,1,0,0,0,0
14240,0,16.4,50,22.0028,17.0,118.0,145.0,13.0,12.0,0,0,0,0,0,0
16967,0,9.84,87,6.0032,17.0,118.0,145.0,0.0,2.0,0,0,0,1,0,0
4680,0,27.88,83,6.0032,10.0,18.0,28.0,3.0,6.0,1,0,0,0,0,0
6392,1,25.42,78,8.9981,17.0,118.0,145.0,3.0,6.0,0,1,0,0,1,0
11103,0,25.42,57,0.0,2.0,6.0,8.0,4.0,6.0,1,0,0,0,0,0
5132,1,12.3,56,15.0013,17.0,136.0,153.0,22.0,11.0,0,0,1,1,0,0
16352,0,30.34,51,22.0028,17.0,118.0,145.0,17.0,9.0,0,1,0,0,0,0
768,1,22.14,100,7.0015,2.0,5.0,7.0,4.0,10.0,0,0,1,1,0,0
11738,1,25.42,78,7.0015,17.0,118.0,145.0,15.0,9.0,0,1,0,1,0,0
247,0,22.96,68,6.0032,18.0,109.0,127.0,22.0,9.0,0,1,0,0,0,0
11804,1,22.96,30,27.9993,81.0,310.0,391.0,16.0,4.0,1,0,0,0,0,0
17233,1,20.5,82,15.0013,61.0,289.0,350.0,9.0,5.0,1,0,0,1,0,0
7959,1,24.6,88,7.0015,17.0,118.0,145.0,4.0,5.0,1,0,0,0,0,0
14391,0,15.58,66,8.9981,3.0,53.0,56.0,2.0,4.0,1,0,0,0,0,0
5565,0,18.04,54,19.9995,120.0,147.0,267.0,14.0,1.0,0,0,0,0,0,0
15252,1,29.52,74,0.0,17.0,118.0,145.0,14.0,8.0,0,1,0,1,0,0
16762,1,18.04,77,8.9981,31.0,105.0,136.0,10.0,12.0,0,0,1,0,0,0
3086,1,16.4,87,8.9981,1.0,3.0,4.0,3.0,12.0,0,0,1,1,0,0
5069,1,26.24,89,0.0,3.0,10.0,13.0,2.0,10.0,0,0,1,0,0,0
1353,1,29.52,79,12.998,3.0,6.0,9.0,3.0,8.0,0,1,0,1,0,0
1619,1,18.86,72,6.0032,3.0,41.0,44.0,5.0,9.0,0,1,0,0,0,0
14548,1,8.2,69,0.0,17.0,118.0,145.0,5.0,11.0,0,0,1,0,0,0
4919,1,25.42,73,0.0,17.0,118.0,145.0,4.0,8.0,0,1,0,0,0,0
2213,0,12.3,87,0.0,2.0,72.0,74.0,2.0,12.0,0,0,1,1,0,0
2713,1,21.32,77,8.9981,9.0,50.0,59.0,0.0,6.0,1,0,0,0,0,0
15498,1,13.12,36,8.9981,18.0,61.0,79.0,14.0,3.0,0,0,0,0,0,0
2379,1,24.6,69,27.9993,25.0,110.0,135.0,15.0,9.0,0,1,0,1,0,0
11031,1,9.84,81,7.0015,17.0,118.0,145.0,13.0,12.0,0,0,0,0,1,0
14445,1,28.7,28,19.0012,56.0,156.0,212.0,15.0,6.0,1,0,0,0,0,0
3711,1,12.3,70,6.0032,1.0,64.0,65.0,23.0,2.0,0,0,0,1,0,0
3381,1,9.02,51,19.9995,7.0,50.0,57.0,11.0,1.0,0,0,0,0,0,0
7952,1,16.4,94,19.9995,3.0,48.0,51.0,18.0,12.0,0,0,1,0,1,0
10647,1,9.84,87,7.0015,4.0,163.0,167.0,18.0,2.0,0,0,0,0,1,0
863,1,28.7,84,6.0032,0.0,8.0,8.0,4.0,9.0,0,1,0,1,0,0
4435,1,27.88,69,19.0012,54.0,87.0,141.0,10.0,8.0,0,1,0,0,0,0
3991,1,25.42,73,8.9981,17.0,118.0,145.0,8.0,5.0,1,0,0,0,0,0
17045,1,28.7,65,6.0032,5.0,25.0,30.0,5.0,8.0,0,1,0,0,0,0
12898,1,9.02,69,6.0032,0.0,26.0,26.0,1.0,12.0,0,0,1,0,0,0
7620,1,24.6,83,0.0,25.0,225.0,250.0,7.0,6.0,1,0,0,0,0,0
3928,1,26.24,83,15.0013,17.0,118.0,145.0,20.0,5.0,1,0,0,0,0,0
6414,1,18.04,88,0.0,25.0,8.0,33.0,1.0,5.0,1,0,0,0,0,0
15081,0,17.22,58,19.0012,82.0,141.0,223.0,13.0,1.0,0,0,0,0,0,0
8592,0,13.12,53,27.9993,44.0,192.0,236.0,11.0,12.0,0,0,1,0,0,0
10920,0,22.96,73,7.0015,144.0,270.0,414.0,11.0,5.0,1,0,0,0,0,0
527,1,26.24,69,8.9981,17.0,118.0,145.0,4.0,5.0,1,0,0,0,0,0
8991,0,16.4,37,7.0015,148.0,207.0,355.0,13.0,11.0,0,0,1,0,0,0
10463,0,14.76,93,6.0032,4.0,34.0,38.0,2.0,3.0,0,0,0,0,1,0
534,1,23.78,83,19.9995,17.0,118.0,145.0,8.0,4.0,1,0,0,0,0,0
3045,1,25.42,73,19.0012,17.0,118.0,145.0,23.0,5.0,1,0,0,0,0,0
2397,1,28.7,79,7.0015,53.0,155.0,208.0,10.0,8.0,0,1,0,0,0,0
1889,0,17.22,100,19.9995,4.0,27.0,31.0,10.0,3.0,0,0,0,1,0,0
2229,0,7.38,59,7.0015,0.0,6.0,6.0,5.0,12.0,0,0,1,0,0,0
12548,1,13.12,70,19.0012,0.0,24.0,24.0,5.0,12.0,0,0,1,1,0,0
3669,1,35.26,41,8.9981,54.0,171.0,225.0,14.0,8.0,0,1,0,0,0,0
10167,1,4.92,54,8.9981,0.0,28.0,28.0,6.0,1.0,0,0,0,0,0,0
8633,0,27.88,41,7.0015,254.0,349.0,603.0,12.0,6.0,1,0,0,0,0,0
12180,1,13.12,53,0.0,2.0,17.0,19.0,23.0,3.0,0,0,0,0,0,0
17228,1,10.66,100,15.0013,17.0,118.0,145.0,7.0,3.0,1,0,0,0,1,0
6276,0,15.58,62,7.0015,3.0,35.0,38.0,0.0,3.0,0,0,0,0,0,0
9206,1,23.78,53,16.9979,27.0,156.0,183.0,14.0,10.0,0,0,1,0,0,0
13072,1,9.02,69,19.0012,17.0,118.0,145.0,5.0,12.0,0,0,0,1,0,0
2029,0,16.4,76,12.998,0.0,1.0,1.0,7.0,1.0,0,0,0,1,0,0
11762,1,21.32,77,15.0013,17.0,118.0,145.0,7.0,11.0,0,0,1,0,0,0
9929,1,9.84,87,0.0,17.0,118.0,145.0,4.0,10.0,0,0,1,0,0,0
10351,1,20.5,77,23.9994,2.0,96.0,98.0,19.0,5.0,1,0,0,0,1,0
8447,0,27.06,78,6.0032,28.0,103.0,131.0,8.0,6.0,1,0,0,0,0,0
2201,0,22.96,56,8.9981,31.0,117.0,148.0,0.0,6.0,1,0,0,0,0,0
7145,1,8.2,32,23.9994,17.0,118.0,145.0,11.0,1.0,0,0,0,1,0,0
2399,1,13.94,87,12.998,17.0,118.0,145.0,11.0,3.0,1,0,0,1,0,0
5580,1,14.76,46,12.998,9.0,120.0,129.0,11.0,2.0,0,0,0,0,0,0
122,1,13.12,45,8.9981,27.0,164.0,191.0,15.0,2.0,0,0,0,1,0,0
13059,1,10.66,33,36.9974,10.0,119.0,129.0,14.0,1.0,0,0,0,0,0,0
10225,0,27.88,34,22.0028,325.0,390.0,715.0,14.0,9.0,0,1,0,0,0,0
16833,1,18.04,88,0.0,9.0,103.0,112.0,6.0,5.0,1,0,0,0,0,0
4372,1,13.12,53,16.9979,1.0,11.0,12.0,2.0,11.0,0,0,1,0,0,0
8113,1,29.52,66,11.0014,17.0,118.0,145.0,23.0,7.0,0,1,0,0,0,0
12864,1,13.12,45,19.0012,28.0,139.0,167.0,10.0,12.0,0,0,1,0,0,0
8140,1,22.96,88,12.998,0.0,4.0,4.0,4.0,5.0,1,0,0,0,0,0
8582,0,20.5,72,12.998,75.0,139.0,214.0,16.0,5.0,1,0,0,1,0,0
13766,1,22.14,83,19.0012,0.0,2.0,2.0,3.0,5.0,1,0,0,0,0,0
6496,0,19.68,67,15.0013,17.0,118.0,145.0,19.0,11.0,0,0,1,0,0,0
11249,1,9.84,30,31.0009,0.0,1.0,1.0,1.0,3.0,0,0,0,0,0,0
2171,1,22.96,73,19.9995,6.0,141.0,147.0,6.0,10.0,0,0,1,1,0,0
15990,1,15.58,46,27.9993,17.0,113.0,130.0,16.0,4.0,1,0,0,0,0,0
17129,1,30.34,33,7.0015,44.0,86.0,130.0,10.0,8.0,0,1,0,0,0,0
17048,0,29.52,79,8.9981,17.0,118.0,145.0,17.0,8.0,0,1,0,0,0,0
17047,1,25.42,73,8.9981,17.0,118.0,145.0,2.0,8.0,0,1,0,0,0,0
15511,0,10.66,44,6.0032,7.0,62.0,69.0,0.0,3.0,0,0,0,0,0,0
3764,1,25.42,43,6.0032,65.0,161.0,226.0,11.0,6.0,1,0,0,0,0,0
8264,0,24.6,88,6.0032,17.0,118.0,145.0,4.0,5.0,1,0,0,0,0,0
6754,0,12.3,52,22.0028,7.0,24.0,31.0,2.0,11.0,0,0,1,0,0,0
12136,1,29.52,62,12.998,17.0,118.0,145.0,18.0,8.0,0,1,0,1,0,0
6178,1,14.76,66,15.0013,1.0,38.0,39.0,5.0,11.0,0,0,1,1,0,0
1729,1,14.76,43,16.9979,32.0,182.0,214.0,13.0,11.0,0,0,1,0,0,0
15668,0,14.76,66,30.0026,3.0,5.0,8.0,6.0,4.0,1,0,0,0,0,0
13110,0,32.8,43,8.9981,17.0,118.0,145.0,16.0,7.0,0,1,0,0,0,0
14927,1,9.02,75,0.0,2.0,6.0,8.0,1.0,1.0,0,0,0,0,0,0
1307,1,25.42,94,0.0,3.0,16.0,19.0,1.0,10.0,0,0,1,1,0,0
13481,0,9.84,87,35.0008,17.0,118.0,145.0,13.0,10.0,0,0,1,0,1,0
9122,1,21.32,83,7.0015,11.0,417.0,428.0,7.0,10.0,0,0,1,0,0,0
9059,1,17.22,47,8.9981,2.0,11.0,13.0,1.0,4.0,1,0,0,0,0,0
16084,1,13.94,42,0.0,17.0,118.0,145.0,21.0,3.0,1,0,0,0,0,0
12970,1,28.7,70,0.0,17.0,118.0,145.0,22.0,8.0,0,1,0,0,0,0
2842,1,6.56,55,15.0013,17.0,118.0,145.0,18.0,1.0,0,0,0,1,0,0
